original,hsl_saturation_lightness_90pct,hsl_saturation_lightness_80pct,hsl_saturation_lightness_70pct,hsl_saturation_lightness_60pct
#00000050,#00000050,#00000050,#00000050,#00000050
#007acc,#096cae,#105e93,#155179,#184462
#263238,#232d32,#20282b,#1c2225,#191d1f
#546E7A,#4d626c,#46575f,#3f4c51,#374045
#65737E,#5c6770,#535c63,#495056,#404549
#82AAFF,#6493f7,#497deb,#3368db,#2e5bb9
#89DDFF,#6acef7,#4ebeeb,#37acdc,#2f93bc
#B2CCD6,#9bbac6,#85a7b5,#7094a2,#607f8b
#bbbbbb,#a8a8a8,#969696,#838383,#707070
#C17E70,#b36e5f,#a16153,#88574d,#714d46
#C3E88D,#b2dc74,#a0cd5d,#8dbc49,#789c43
#C792EA,#b578de,#a360d0,#914bbf,#7b44a0
#eeffff,#c0fcfc,#97f3f3,#73e6e6,#54d4d4
#f07178,#e55961,#d7444c,#c2363d,#9d373c
#F78C6C,#ed7653,#df623d,#ca522e,#a44c31
#FF5370,#f53b5b,#e72748,#c9233f,#a2293d
#FFCB6B,#f6bc50,#e9ab39,#d79926,#ae802b
#ffffff,#e6e6e6,#cccccc,#b2b2b2,#999999
